group,all_n,complete_n,all_size_mb,complete_size_mb,size_change_pct,all_density,complete_density,density_change_pct
archaea,832,432,3.1780125000000004,2.8038559999999997,-11.773285976691428,1024.3963965250573,1035.1802072175578,1.0526990068572273
bacteria,22736,6745,4.1634005,3.884382,-6.701697326500289,934.2461717361294,934.2356125444715,-0.0011302365455101437
fungi,668,69,32.830289,23.02602,-29.863486733241984,350.5083025356839,364.3121962062895,3.938250127242071
invertebrate,512,3,386.70207400000004,327.376598,-15.341390695515134,45.66470276190989,45.378930842210046,-0.6258048392208448
plant,211,9,639.5867,393.332932,-38.50201512945781,63.50592276527795,84.14245873518671,32.49545093011679
protozoa,115,4,31.216622,23.167868,-25.783552108873288,280.66348039728905,278.11627770778887,-0.9075647055664438
vertebrate_mammalian,269,3,2576.497192,3060.038958,18.767409004030466,12.45449616228855,14.327214514436806,15.03648423626105
vertebrate_other,622,3,1143.8983090000002,1261.969826,10.321854317908596,20.649017805732313,36.96300785229408,79.0061309455256
